Bart the Murderer,39,3,https://www.imdb.com/title/tt0701060/ratings?ref_=tt_ov_rt,722,731,589,206,93,33,12,4,2,36,2428
Homer Defined,40,3,https://www.imdb.com/title/tt0701110/ratings?ref_=tt_ov_rt,611,561,653,304,96,39,18,3,3,32,2320
"Like Father, Like Clown",41,3,https://www.imdb.com/title/tt0701153/ratings?ref_=tt_ov_rt,334,216,675,498,182,89,31,15,5,37,2082
Treehouse of Horror II,42,3,https://www.imdb.com/title/tt0759267/ratings?ref_=tt_ov_rt,545,491,643,367,105,58,25,13,6,47,2300
Lisa's Pony,43,3,https://www.imdb.com/title/tt0701161/ratings?ref_=tt_ov_rt,330,298,671,455,135,57,30,11,5,29,2021
Saturdays of Thunder,44,3,https://www.imdb.com/title/tt0768558/ratings?ref_=tt_ov_rt,336,321,663,423,144,43,24,7,3,33,1997
Flaming Moe's,45,3,https://www.imdb.com/title/tt0701098/ratings?ref_=tt_ov_rt,997,735,508,208,65,32,17,5,4,61,2632
Burns Verkaufen der Kraftwerk,46,3,https://www.imdb.com/title/tt0769743/ratings?ref_=tt_ov_rt,456,469,676,302,85,52,12,8,3,46,2109
I Married Marge,47,3,https://www.imdb.com/title/tt0768556/ratings?ref_=tt_ov_rt,437,450,639,282,87,47,16,10,4,46,2018
Radio Bart,48,3,https://www.imdb.com/title/tt0701200/ratings?ref_=tt_ov_rt,611,621,568,251,81,37,14,6,4,49,2242
Lisa the Greek,49,3,https://www.imdb.com/title/tt0768557/ratings?ref_=tt_ov_rt,331,306,703,370,111,47,13,15,8,30,1934
Homer Alone,50,3,https://www.imdb.com/title/tt0768555/ratings?ref_=tt_ov_rt,342,344,669,360,120,41,22,9,4,29,1940
Bart the Lover,51,3,https://www.imdb.com/title/tt0768553/ratings?ref_=tt_ov_rt,467,481,683,305,84,34,17,4,1,41,2117
Homer at the Bat,52,3,https://www.imdb.com/title/tt0701114/ratings?ref_=tt_ov_rt,1058,581,449,234,117,52,12,6,1,74,2584
Separate Vocations,53,3,https://www.imdb.com/title/tt0701204/ratings?ref_=tt_ov_rt,399,413,670,293,89,39,11,6,4,43,1967
Dog of Death,54,3,https://www.imdb.com/title/tt0768554/ratings?ref_=tt_ov_rt,287,244,613,478,146,56,26,10,4,28,1892
Colonel Homer,55,3,https://www.imdb.com/title/tt0701082/ratings?ref_=tt_ov_rt,414,339,626,393,119,48,34,13,9,42,2037
Black Widower,56,3,https://www.imdb.com/title/tt0701070/ratings?ref_=tt_ov_rt,453,455,631,282,86,47,18,7,3,44,2026
The Otto Show,57,3,https://www.imdb.com/title/tt0701254/ratings?ref_=tt_ov_rt,302,241,602,511,127,59,31,14,6,33,1926
Bart's Friend Falls in Love,58,3,https://www.imdb.com/title/tt0701064/ratings?ref_=tt_ov_rt,292,235,617,473,158,45,31,11,5,30,1897
"Brother, Can You Spare Two Dimes?",59,3,https://www.imdb.com/title/tt0701076/ratings?ref_=tt_ov_rt,421,428,646,287,97,38,15,5,7,42,1986
Kamp Krusty,60,4,https://www.imdb.com/title/tt0701142/ratings?ref_=tt_ov_rt,643,601,604,263,101,46,19,9,6,51,2343
A Streetcar Named Marge,61,4,https://www.imdb.com/title/tt0701048/ratings?ref_=tt_ov_rt,511,385,683,331,131,48,25,18,4,39,2175
Homer the Heretic,62,4,https://www.imdb.com/title/tt0773647/ratings?ref_=tt_ov_rt,1229,772,451,186,76,37,12,4,8,50,2825
Lisa the Beauty Queen,63,4,https://www.imdb.com/title/tt0701154/ratings?ref_=tt_ov_rt,322,257,650,490,131,53,32,12,4,27,1978
Treehouse of Horror III,64,4,https://www.imdb.com/title/tt0758368/ratings?ref_=tt_ov_rt,670,549,539,265,130,49,20,12,4,53,2291
Itchy & Scratchy: The Movie,65,4,https://www.imdb.com/title/tt0701139/ratings?ref_=tt_ov_rt,449,463,641,319,103,45,11,10,5,45,2091
Marge Gets a Job,66,4,https://www.imdb.com/title/tt0701169/ratings?ref_=tt_ov_rt,293,252,658,455,131,45,21,14,1,26,1896
New Kid on the Block,67,4,https://www.imdb.com/title/tt0701189/ratings?ref_=tt_ov_rt,435,415,712,305,101,35,8,11,5,33,2060
Mr. Plow,68,4,https://www.imdb.com/title/tt0701184/ratings?ref_=tt_ov_rt,1002,731,523,196,74,23,8,8,7,58,2630
Lisa's First Word,69,4,https://www.imdb.com/title/tt0701160/ratings?ref_=tt_ov_rt,721,583,497,242,68,28,22,9,2,51,2223
Homer's Triple Bypass,70,4,https://www.imdb.com/title/tt0772625/ratings?ref_=tt_ov_rt,734,596,552,253,65,33,10,4,1,33,2281
Marge vs. the Monorail,71,4,https://www.imdb.com/title/tt0701173/ratings?ref_=tt_ov_rt,1646,734,423,214,76,34,15,5,8,77,3232
Selma's Choice,72,4,https://www.imdb.com/title/tt0773650/ratings?ref_=tt_ov_rt,387,321,598,396,117,49,10,12,3,28,1921
Brother from the Same Planet,73,4,https://www.imdb.com/title/tt0764185/ratings?ref_=tt_ov_rt,391,408,631,303,87,37,19,10,3,43,1932
